Date,Place,URI
1907-04-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-28,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-29,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-30,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1907-04-07,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/2?oldid=3603780"
1907-04-07,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-28,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-29,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-30,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Florissant, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Denver, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"Oxford Hotel (Denver, Colorado)","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-07-31,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3614104"
1905-08-01,"City Park, Denver ","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Castle Rock, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/4?oldid=3614103"
1905-08-01,"Boulder, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Palmer Lake, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/5?oldid=3581173"
1905-08-01,"Colorado Springs, Colorado","http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/6?oldid=3575072"
