catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN3-3-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"horned larks","Eremophila alpestris","Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,hotel,"Northern Hotel",,,,,,,,,,,,,,,,,,
JHFN3-3-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpies,magpie,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,hotel,"Northern Hotel",,,,,,,,,,,,,,,,,,
JHFN3-3-C,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadowlark,Sturnella,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,hotel,"Northern Hotel",,,,,,,,,,,,,,,,,,
JHFN3-3-D,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/3?oldid=3615876",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Niobrara,Niobrara,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Niobrara,Niobrara,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-B,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Pentacrinus,Pentacrinus,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-C,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea,Ostrea,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-D,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Inoceramus,Inoceramus,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-4-E,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/4?oldid=3615878",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Ostrea,Ostrea,"Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
JHFN3-5-A,2012-03-12,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_3.pdf/5?oldid=3615886",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"white tailed jack rabbit","Lepus townsendii","Jany 27, 1909","Junius Henderson",1909-01-26,,,,,"United States of America",US,,,,"Box Elder","Box Elder Creek, Colorado",,,,,,,,,,,,,,,,,,
