catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN1-3-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya","'July 28, 1905","Junius Henderson",'1905-07-28,,"
{{place|Boulder, Colorado|Boulder, Colo}}.

{{dated|1905-07-28|July 28, 1905}}. Saw {{taxon|Sayornis saya|Say Phoebe}} and {{taxon|Carduelis pinus|siskin}}, {{taxon|Turdus migratorius|America Robin}}, {{taxon|Colaptes auratus|Northern Flicker}}.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,siskin,"Carduelis pinus","'July 28, 1905","Junius Henderson",'1905-07-28,,"
{{place|Boulder, Colorado|Boulder, Colo}}.

{{dated|1905-07-28|July 28, 1905}}. Saw {{taxon|Sayornis saya|Say Phoebe}} and {{taxon|Carduelis pinus|siskin}}, {{taxon|Turdus migratorius|America Robin}}, {{taxon|Colaptes auratus|Northern Flicker}}.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-C,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius","'July 28, 1905","Junius Henderson",'1905-07-28,,"
{{place|Boulder, Colorado|Boulder, Colo}}.

{{dated|1905-07-28|July 28, 1905}}. Saw {{taxon|Sayornis saya|Say Phoebe}} and {{taxon|Carduelis pinus|siskin}}, {{taxon|Turdus migratorius|America Robin}}, {{taxon|Colaptes auratus|Northern Flicker}}.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-D,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Northern Flicker","Colaptes auratus","'July 28, 1905","Junius Henderson",'1905-07-28,,"
{{place|Boulder, Colorado|Boulder, Colo}}.

{{dated|1905-07-28|July 28, 1905}}. Saw {{taxon|Sayornis saya|Say Phoebe}} and {{taxon|Carduelis pinus|siskin}}, {{taxon|Turdus migratorius|America Robin}}, {{taxon|Colaptes auratus|Northern Flicker}}.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-E,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya","'July 29","Junius Henderson",'1905-07-29,,"
{{dated|1905-07-29|July 29}}, Saw {{taxon|Sayornis saya|Say Phoebe}}, Heard a {{taxon|Turdus migratorius|America Robin}} at 11:30 last night.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-F,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius","'July 29","Junius Henderson",'1905-07-29,,"
{{dated|1905-07-29|July 29}}, Saw {{taxon|Sayornis saya|Say Phoebe}}, Heard a {{taxon|Turdus migratorius|America Robin}} at 11:30 last night.

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-G,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Say Phoebe","Sayornis saya","'July 30","Junius Henderson",'1905-07-30,,"
{{dated|1905-07-30|July 30}}, Saw {{taxon|Sayornis saya|Say Phoebe}}

",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-H,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Pine Siskin","Carduelis pinus","'July 31","Junius Henderson",'1905-07-31,,"
{{dated|1905-07-31|July 31}}, heard {{taxon|Carduelis pinus|Pine Siskin}} at noon at Court House, have seen none for a week. Expense University {{place|Florissant, Colorado|Florissant}} trip, 2 tickets to {{place|Denver, Colorado|Denver}}  Dr. Ramaley and I ----$2.00. Saw a {{taxon|Tyrannus |Kingbird}} and {{taxon|Turdus migratorius|America Robin}} on way to depot. Left Boulder with Dr. Ramaley at 5:15 p.m., reached Denver about on time. Stayed at {{place|Oxford Hotel (Denver, Colorado)| Oxford",,,"United States of America",US,Colo,,,"Boulder, Colo","Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-I,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,Kingbird,"Tyrannus ","'July 31","Junius Henderson",'1905-07-31,," pinus|Pine Siskin}} at noon at Court House, have seen none for a week. Expense University {{place|Florissant, Colorado|Florissant}} trip, 2 tickets to {{place|Denver, Colorado|Denver}}  Dr. Ramaley and I ----$2.00. Saw a {{taxon|Tyrannus |Kingbird}} and {{taxon|Turdus migratorius|America Robin}} on way to depot. Left Boulder with Dr. Ramaley at 5:15 p.m., reached Denver about on time. Stayed at {{place|Oxford Hotel (Denver, Colorado)| Oxford Hotel}} to be near depot in the morning. Went to {{pl",,,"United States of America",US,Colo,,,Denver,"Denver, Colorado",,,,,,,,,,,,,,,,,,
JHFN1-3-J,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_1.djvu/3?oldid=3636719",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"America Robin","Turdus migratorius","'July 31","Junius Henderson",'1905-07-31,,"ve seen none for a week. Expense University {{place|Florissant, Colorado|Florissant}} trip, 2 tickets to {{place|Denver, Colorado|Denver}}  Dr. Ramaley and I ----$2.00. Saw a {{taxon|Tyrannus |Kingbird}} and {{taxon|Turdus migratorius|America Robin}} on way to depot. Left Boulder with Dr. Ramaley at 5:15 p.m., reached Denver about on time. Stayed at {{place|Oxford Hotel (Denver, Colorado)| Oxford Hotel}} to be near depot in the morning. Went to {{place|City Park, Denver | City Park}} and heard b",,,"United States of America",US,Colo,,,Denver,"Denver, Colorado",,,,,,,,,,,,,,,,,,
