catalogNumber,dc:modified,basisOfRecord,institutionCode,collectionCode,associatedMedia,fieldNotes,scientificName,vernacularName,ScrapedName,AnnotatorName,VerbatimDate,identifiedBy,dateIdentified,associatedReferences,dataGeneralizations,identificationRemarks,occurenceRemarks,country,countryCode,stateProvince,county,locality,verbatimLocality,AnnotatorLocality,ScrapeGoatField,"decimal latitude","decimal longitude",geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,EventDate,Day,Month,Year
JHFN2-7-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"piñon jays","Gymnorhinus cyanocephalus","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"lmost perfectly clear morning at {{place|Boulder, Colorado|Boulder}}. About 50 {{taxon|Gymnorhinus cyanocephalus|piñon jays}} flew over the house at 7 a.m. going nearly north. Clouded up before 9 a.m. Left Boulder at 9:45 for {{place|Ft. Collins, Col",,,"United States of America",US,,,,Boulder,"Boulder, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,magpies,Corvidae,"'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"place|Owl Canyon, Colorado|Owl Canyon}} at 6:30, where we went into camp. Saw the following birds: {{taxon|Corvidae|magpies}}, {{taxon|Agelaius phoeniceus|redwing blackbird}}, {{taxon|Calamospiza melanocorys|lark buntings}}, {{taxon|Tyrannus |Arkansa",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-C,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"redwing blackbird","Agelaius phoeniceus","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"where we went into camp. Saw the following birds: {{taxon|Corvidae|magpies}}, {{taxon|Agelaius phoeniceus|redwing blackbird}}, {{taxon|Calamospiza melanocorys|lark buntings}}, {{taxon|Tyrannus |Arkansas kingbird}}, {{taxon|Tyrannus|T.T. kingbird}}, {",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-D,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"lark buntings","Calamospiza melanocorys","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,," {{taxon|Corvidae|magpies}}, {{taxon|Agelaius phoeniceus|redwing blackbird}}, {{taxon|Calamospiza melanocorys|lark buntings}}, {{taxon|Tyrannus |Arkansas kingbird}}, {{taxon|Tyrannus|T.T. kingbird}}, {{taxon|Zenaida macroura|mourning doves}}, 1 {{tax",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-E,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"Arkansas kingbird","Tyrannus ","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"elaius phoeniceus|redwing blackbird}}, {{taxon|Calamospiza melanocorys|lark buntings}}, {{taxon|Tyrannus |Arkansas kingbird}}, {{taxon|Tyrannus|T.T. kingbird}}, {{taxon|Zenaida macroura|mourning doves}}, 1 {{taxon|Charadrius vociferus|killdeer}}, 1 {",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-F,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"T.T. kingbird",Tyrannus,"'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"d}}, {{taxon|Calamospiza melanocorys|lark buntings}}, {{taxon|Tyrannus |Arkansas kingbird}}, {{taxon|Tyrannus|T.T. kingbird}}, {{taxon|Zenaida macroura|mourning doves}}, 1 {{taxon|Charadrius vociferus|killdeer}}, 1 {{taxon|Alcedines|kingfisher}}, {{t",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-G,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"mourning doves","Zenaida macroura","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"untings}}, {{taxon|Tyrannus |Arkansas kingbird}}, {{taxon|Tyrannus|T.T. kingbird}}, {{taxon|Zenaida macroura|mourning doves}}, 1 {{taxon|Charadrius vociferus|killdeer}}, 1 {{taxon|Alcedines|kingfisher}}, {{taxon|Turdus migratorius|robins}}, {{taxon|H",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-H,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,killdeer,"Charadrius vociferus","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"ird}}, {{taxon|Tyrannus|T.T. kingbird}}, {{taxon|Zenaida macroura|mourning doves}}, 1 {{taxon|Charadrius vociferus|killdeer}}, 1 {{taxon|Alcedines|kingfisher}}, {{taxon|Turdus migratorius|robins}}, {{taxon|Hirundo rustica|barn swallows}}, {{taxon|Pet",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-I,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,kingfisher,Alcedines,"'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"ird}}, {{taxon|Zenaida macroura|mourning doves}}, 1 {{taxon|Charadrius vociferus|killdeer}}, 1 {{taxon|Alcedines|kingfisher}}, {{taxon|Turdus migratorius|robins}}, {{taxon|Hirundo rustica|barn swallows}}, {{taxon|Petrochelidon pyrrhonota|cliff swallo",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-J,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,robins,"Turdus migratorius","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"ing doves}}, 1 {{taxon|Charadrius vociferus|killdeer}}, 1 {{taxon|Alcedines|kingfisher}}, {{taxon|Turdus migratorius|robins}}, {{taxon|Hirundo rustica|barn swallows}}, {{taxon|Petrochelidon pyrrhonota|cliff swallows}}

{{#from|title=Page:Field Notes ",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-K,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"barn swallows","Hirundo rustica","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"us|killdeer}}, 1 {{taxon|Alcedines|kingfisher}}, {{taxon|Turdus migratorius|robins}}, {{taxon|Hirundo rustica|barn swallows}}, {{taxon|Petrochelidon pyrrhonota|cliff swallows}}

{{#from|title=Page:Field Notes of Junius Henderson, Notebook 2.pdf/8|uri",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-7-L,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/7?oldid=3614624",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"cliff swallows","Petrochelidon pyrrhonota","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"taxon|Turdus migratorius|robins}}, {{taxon|Hirundo rustica|barn swallows}}, {{taxon|Petrochelidon pyrrhonota|cliff swallows}}

{{#from|title=Page:Field Notes of Junius Henderson, Notebook 2.pdf/8|uri=http://en.wikisource.org/wiki/Page:Field_Notes_of_",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-8-A,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/8?oldid=3614625",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,meadowlark,Sturnella,"'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/8?oldid=3614625}}

{{taxon|Sturnella|meadowlark}}, {{taxon|Athene cunicularia|burrowing owl}}, {{taxon|Carduelis tristis|goldfinch}}, {{taxon|Euphagus cyanocephalus|Brewer’s ",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-8-B,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/8?oldid=3614625",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,"burrowing owl","Athene cunicularia","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"unius_Henderson,_Notebook_2.pdf/8?oldid=3614625}}

{{taxon|Sturnella|meadowlark}}, {{taxon|Athene cunicularia|burrowing owl}}, {{taxon|Carduelis tristis|goldfinch}}, {{taxon|Euphagus cyanocephalus|Brewer’s blackbirds}}. Several birds singing about ca",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
JHFN2-8-C,'2012-04-09,HumanObservation,UCM,HendersonNotes,"http://en.wikisource.org/wiki/Page:Field_Notes_of_Junius_Henderson,_Notebook_2.pdf/8?oldid=3614625",http://en.wikisource.org/wiki/Field_Notes_of_Junius_Henderson,,,goldfinch,"Carduelis tristis","'Thursday June 6, 1907","Junius Henderson",'1907-06-06,,"=3614625}}

{{taxon|Sturnella|meadowlark}}, {{taxon|Athene cunicularia|burrowing owl}}, {{taxon|Carduelis tristis|goldfinch}}, {{taxon|Euphagus cyanocephalus|Brewer’s blackbirds}}. Several birds singing about camp whose songs I do not recognize. Reti",,,"United States of America",US,,,,"Owl Canyon","Owl Canyon, Colorado",,,,,,,,,,,,,,,,,,
